,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
209877,105384,Sandra Maria Suruagy Lima,F,33.0,178.0,63.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
209878,105385,Sandra Tavares Pires Nascimento,F,23.0,174.0,64.0,Brazil-1,BRA,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
209879,105385,Sandra Tavares Pires Nascimento,F,27.0,174.0,64.0,Brazil-2,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
210983,105947,"Welissa ""Sass"" de Souza Gonzaga",F,25.0,179.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
217959,109482,Sheilla Tavares de Castro Blassioli,F,25.0,185.0,65.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
217960,109482,Sheilla Tavares de Castro Blassioli,F,29.0,185.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
217979,109492,Shelda Kelly Bruno Bede,F,27.0,165.0,59.0,Brazil-1,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
217980,109492,Shelda Kelly Bruno Bede,F,31.0,165.0,59.0,Brazil-1,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
220012,110521,"Jacqueline Louise ""Jackie"" da Cruz Silva",F,34.0,170.0,61.0,Brazil-1,BRA,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
220065,110549,Rafaela Lopes Silva,F,24.0,169.0,57.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Gold
