,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
169698,85299,"Elissandra Regina ""Nen"" Cavalcanti",F,24.0,158.0,54.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
176453,88728,Lenice Peluso Oliveira,F,19.0,179.0,69.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
182489,91730,Cristiane Rebizzi Parmigiano,F,17.0,164.0,61.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Middleweight,
183391,92176,Maria Paula Gonalves da Silva,F,30.0,174.0,60.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
185397,93209,Regina Uchoa Pereira,F,24.0,179.0,67.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
190770,95824,Poliana Barbosa Medeiros,F,25.0,172.0,60.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
191127,95976,Daniela Duque Estrada Polzin,F,25.0,159.0,48.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Extra-Lightweight,
191784,96290,Maria de Lourdes Mazzoleni Portela,F,24.0,158.0,70.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Middleweight,
191785,96290,Maria de Lourdes Mazzoleni Portela,F,28.0,158.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Middleweight,
192978,96895,"Delma ""Pretinha"" Gonalves",F,21.0,157.0,53.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
