,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
42471,21910,"Cludia Maria ""Cludinha"" das Neves",F,33.0,170.0,67.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
43406,22375,Ndia Gomes Colhado,F,23.0,194.0,88.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
43407,22375,Ndia Gomes Colhado,F,27.0,194.0,88.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
46179,23834,Cristiane Rozeira de Souza Silva,F,27.0,176.0,69.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
46180,23834,Cristiane Rozeira de Souza Silva,F,31.0,176.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
47796,24640,Eliana Miranda da Costa,F,19.0,177.0,64.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
47797,24640,Eliana Miranda da Costa,F,24.0,177.0,64.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
47858,24664,Tain Mayara da Paixo,F,24.0,171.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
47916,24694,Edinanci Fernandes da Silva,F,19.0,175.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Heavyweight,
47917,24694,Edinanci Fernandes da Silva,F,24.0,175.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Heavyweight,
47918,24694,Edinanci Fernandes da Silva,F,27.0,175.0,78.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,
47919,24694,Edinanci Fernandes da Silva,F,31.0,175.0,78.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Heavyweight,
47974,24724,Mayra Aguiar da Silva,F,17.0,177.0,78.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Middleweight,
47977,24725,Mnica Caetano da Silva,F,23.0,181.0,69.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
48909,25208,Daniela Alves Lima,F,16.0,171.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
49137,25305,Damiris Dantas do Amaral,F,19.0,192.0,80.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
49138,25305,Damiris Dantas do Amaral,F,23.0,192.0,80.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
49372,25430,Ivonete das Neves,F,19.0,175.0,68.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
52338,26881,"Dbora Cristiane ""Debinha"" de Oliveira",F,24.0,157.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
55350,28388,"Diedja M. ""Didi"" Roque Barreto",F,32.0,171.0,58.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
57755,29573,Clarissa Cristina dos Santos,F,24.0,183.0,89.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
57756,29573,Clarissa Cristina dos Santos,F,28.0,183.0,89.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
61602,31540,"Soeli ""ga"" Garvo Zakrzeski",F,30.0,187.0,77.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
62832,32210,Elane dos Santos Rego,F,28.0,174.0,64.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
62997,32292,Elisngela Almeida de Oliveira,F,25.0,184.0,78.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
64267,32920,rika Cristiano dos Santos,F,24.0,172.0,55.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
64268,32920,rika Cristiano dos Santos,F,28.0,172.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
64269,32921,rika Cristina de Souza,F,22.0,196.0,92.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
64270,32921,rika Cristina de Souza,F,30.0,196.0,92.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
64271,32921,rika Cristina de Souza,F,34.0,196.0,92.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
65047,33293,Ester Aperecida dos Santos,F,29.0,164.0,56.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
65724,33637,Fabiana da Silva Simes,F,22.0,161.0,56.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
65725,33637,Fabiana da Silva Simes,F,26.0,161.0,56.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
65726,33638,Fabiana Marcelino Claudino,F,19.0,193.0,76.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
65729,33638,Fabiana Marcelino Claudino,F,31.0,193.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
65740,33648,Josefa Fabola Almeida de Sousa Alves,F,33.0,184.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
66444,33987,"Roselane ""Fanta"" Camargo Motta",F,29.0,169.0,62.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
68004,34735,Fernanda Porto Venturini,F,17.0,180.0,66.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
68005,34735,Fernanda Porto Venturini,F,21.0,180.0,66.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
68007,34735,Fernanda Porto Venturini,F,33.0,180.0,66.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
68008,34736,Fernanda Neves Beling,F,25.0,183.0,68.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
68577,35005,Tnia Ferreira,F,26.0,169.0,57.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Lightweight,
70730,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,22.0,173.0,63.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
70733,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,34.0,173.0,63.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
71245,36289,"Miraildes ""Formiga"" Maciel Mota",F,18.0,162.0,53.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
71246,36289,"Miraildes ""Formiga"" Maciel Mota",F,22.0,162.0,53.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
71249,36289,"Miraildes ""Formiga"" Maciel Mota",F,34.0,162.0,53.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
